eventBonus	liveBonus	scoreLowerLimit	scoreUpperLimit	eventPoint
0	0	0	19999	126
0	0	20000	39999	127
0	0	40000	59999	128
0	0	60000	79999	129
0	0	80000	99999	131
0	0	100000	119999	132
0	0	120000	139999	133
0	0	140000	159999	134
0	0	160000	179999	136
0	0	180000	199999	137
0	0	200000	219999	138
0	0	220000	239999	139
0	0	240000	259999	141
0	0	260000	279999	142
0	0	280000	299999	143
0	0	300000	319999	144
0	0	320000	339999	146
0	0	340000	359999	147
0	0	360000	379999	148
0	0	380000	399999	149
0	0	400000	419999	151
0	0	420000	439999	152
0	0	440000	459999	153
0	0	460000	479999	154
0	0	480000	499999	156
0	0	500000	519999	157
0	0	520000	539999	158
0	0	540000	559999	160
0	0	560000	579999	161
0	0	580000	599999	162
0	0	600000	619999	163
0	0	620000	639999	165
0	0	640000	659999	166
0	0	660000	679999	167
0	0	680000	699999	168
0	0	700000	719999	170
0	0	720000	739999	171
0	0	740000	759999	172
0	0	760000	779999	173
0	0	780000	799999	175
0	0	800000	819999	176
0	0	820000	839999	177
0	0	840000	859999	178
0	0	860000	879999	180
0	0	880000	899999	181
0	0	900000	919999	182
0	0	920000	939999	183
0	0	940000	959999	185
0	0	960000	979999	186
0	0	980000	999999	187
0	0	1000000	1019999	189
0	0	1020000	1039999	190
0	0	1040000	1059999	191
0	0	1060000	1079999	192
0	0	1080000	1099999	194
0	0	1100000	1119999	195
0	0	1120000	1139999	196
0	0	1140000	1159999	197
0	0	1160000	1179999	199
0	0	1180000	1199999	200
0	0	1200000	1219999	201
0	0	1220000	1239999	202
0	0	1240000	1259999	204
0	0	1260000	1279999	205
0	0	1280000	1299999	206
0	0	1300000	1319999	207
0	0	1320000	1339999	209
0	0	1340000	1359999	210
0	0	1360000	1379999	211
0	0	1380000	1399999	212
0	0	1400000	1419999	214
0	0	1420000	1439999	215
0	0	1440000	1459999	216
0	0	1460000	1479999	217
0	0	1480000	1499999	219
0	0	1500000	1519999	220
0	0	1520000	1539999	221
0	0	1540000	1559999	223
0	0	1560000	1579999	224
